ligand_id	barrier_energy	job_id	barrier_file	barrier_line
PV-007132225852	26.75280000000056	10	ligand_barriers_JOB_10.txt	"PV-007132225852	1	26.75280000000056"
PV-007132278129	30.968900000000012	10	ligand_barriers_JOB_10.txt	"PV-007132278129	1	30.968900000000012"
PV-007132278130	29.217699999999795	10	ligand_barriers_JOB_10.txt	"PV-007132278130	1	29.217699999999795"
PV-007132278131	30.752700000000363	10	ligand_barriers_JOB_10.txt	"PV-007132278131	1	30.752700000000363"
PV-007132365276	30.11320000000634	10	ligand_barriers_JOB_10.txt	"PV-007132365276	1	30.11320000000634"
PV-007132400593	29.394300000001685	10	ligand_barriers_JOB_10.txt	"PV-007132400593	1	29.394300000001685"
PV-007132607709	28.62750000000447	10	ligand_barriers_JOB_10.txt	"PV-007132607709	1	28.62750000000447"
PV-007132714473	28.764299999997938	10	ligand_barriers_JOB_10.txt	"PV-007132714473	1	28.764299999997938"
PV-007132794910	29.725999999993654	10	ligand_barriers_JOB_10.txt	"PV-007132794910	1	29.725999999993654"
PV-007132821703	29.72849999999738	10	ligand_barriers_JOB_10.txt	"PV-007132821703	1	29.72849999999738"
PV-007132881224	30.813699999998697	10	ligand_barriers_JOB_10.txt	"PV-007132881224	1	30.813699999998697"
PV-007132887511	27.163099999994778	10	ligand_barriers_JOB_10.txt	"PV-007132887511	1	27.163099999994778"
PV-007132887512	28.945399999994407	10	ligand_barriers_JOB_10.txt	"PV-007132887512	1	28.945399999994407"
PV-007133106209	30.231100000007817	10	ligand_barriers_JOB_10.txt	"PV-007133106209	1	30.231100000007817"
PV-007133143084	26.44069999999795	10	ligand_barriers_JOB_10.txt	"PV-007133143084	1	26.44069999999795"
PV-007133229442	29.617300000001674	10	ligand_barriers_JOB_10.txt	"PV-007133229442	1	29.617300000001674"
PV-007133246141	29.638699999999066	10	ligand_barriers_JOB_10.txt	"PV-007133246141	1	29.638699999999066"
PV-007133423331	28.989099999997585	10	ligand_barriers_JOB_10.txt	"PV-007133423331	1	28.989099999997585"
PV-007134359302	30.00779999999851	10	ligand_barriers_JOB_10.txt	"PV-007134359302	1	30.00779999999851"
PV-007134652614	27.38519999999609	10	ligand_barriers_JOB_10.txt	"PV-007134652614	1	27.38519999999609"
PV-007134717324	30.922999999992552	10	ligand_barriers_JOB_10.txt	"PV-007134717324	1	30.922999999992552"
PV-007134971057	30.277499999999257	10	ligand_barriers_JOB_10.txt	"PV-007134971057	1	30.277499999999257"
PV-007135124520	30.41210000000447	10	ligand_barriers_JOB_10.txt	"PV-007135124520	1	30.41210000000447"
PV-007135124521	27.811500000007072	10	ligand_barriers_JOB_10.txt	"PV-007135124521	1	27.811500000007072"
PV-007135313995	29.682699999997013	10	ligand_barriers_JOB_10.txt	"PV-007135313995	1	29.682699999997013"
PV-007135340066	29.581799999997575	10	ligand_barriers_JOB_10.txt	"PV-007135340066	1	29.581799999997575"
PV-007135434107	29.854300000000013	10	ligand_barriers_JOB_10.txt	"PV-007135434107	1	29.854300000000013"
PV-007135538382	26.316199999997874	10	ligand_barriers_JOB_10.txt	"PV-007135538382	1	26.316199999997874"
PV-007135730091	29.978999999998127	10	ligand_barriers_JOB_10.txt	"PV-007135730091	1	29.978999999998127"
PV-007135823038	29.938599999997383	10	ligand_barriers_JOB_10.txt	"PV-007135823038	1	29.938599999997383"
PV-007135830750	30.969700000002423	10	ligand_barriers_JOB_10.txt	"PV-007135830750	1	30.969700000002423"
PV-007135989502	30.682500000001124	10	ligand_barriers_JOB_10.txt	"PV-007135989502	1	30.682500000001124"
PV-007136343865	30.3798999999972	10	ligand_barriers_JOB_10.txt	"PV-007136343865	1	30.3798999999972"
PV-007136343866	31.076000000003	10	ligand_barriers_JOB_10.txt	"PV-007136343866	1	31.076000000003"
PV-007136343867	30.830100000004478	10	ligand_barriers_JOB_10.txt	"PV-007136343867	1	30.830100000004478"
PV-007136639359	30.394600000000004	10	ligand_barriers_JOB_10.txt	"PV-007136639359	1	30.394600000000004"
PV-007136653121	30.80560000000075	10	ligand_barriers_JOB_10.txt	"PV-007136653121	1	30.80560000000075"
PV-007136688415	28.902399999993108	10	ligand_barriers_JOB_10.txt	"PV-007136688415	1	28.902399999993108"
PV-007137005493	31.184600000000025	10	ligand_barriers_JOB_10.txt	"PV-007137005493	1	31.184600000000025"
PV-007137187758	27.64990000000521	10	ligand_barriers_JOB_10.txt	"PV-007137187758	1	27.64990000000521"
PV-007137187759	29.822399999997206	10	ligand_barriers_JOB_10.txt	"PV-007137187759	1	29.822399999997206"
PV-007137187760	31.050000000000004	10	ligand_barriers_JOB_10.txt	"PV-007137187760	1	31.050000000000004"
PV-007137187761	30.767700000000005	10	ligand_barriers_JOB_10.txt	"PV-007137187761	1	30.767700000000005"
PV-007137332905	25.885200000004648	10	ligand_barriers_JOB_10.txt	"PV-007137332905	1	25.885200000004648"
PV-007137744916	29.358899999995536	10	ligand_barriers_JOB_10.txt	"PV-007137744916	1	29.358899999995536"
PV-007137830200	29.4298	10	ligand_barriers_JOB_10.txt	"PV-007137830200	1	29.4298"
PV-007138100164	29.028099999994975	10	ligand_barriers_JOB_10.txt	"PV-007138100164	1	29.028099999994975"
PV-007138246946	31.322500000002428	10	ligand_barriers_JOB_10.txt	"PV-007138246946	1	31.322500000002428"
PV-007138477935	25.854099999999995	10	ligand_barriers_JOB_10.txt	"PV-007138477935	1	25.854099999999995"
PV-007138686666	30.9216000000017	10	ligand_barriers_JOB_10.txt	"PV-007138686666	1	30.9216000000017"
PV-007138933547	27.50560000001248	10	ligand_barriers_JOB_10.txt	"PV-007138933547	1	27.50560000001248"
PV-007139011994	30.372700000002993	10	ligand_barriers_JOB_10.txt	"PV-007139011994	1	30.372700000002993"
PV-007139011995	26.26339999999216	10	ligand_barriers_JOB_10.txt	"PV-007139011995	1	26.26339999999216"
PV-007139011996	27.312400000000004	10	ligand_barriers_JOB_10.txt	"PV-007139011996	1	27.312400000000004"
PV-007139011997	29.06120000000203	10	ligand_barriers_JOB_10.txt	"PV-007139011997	1	29.06120000000203"
PV-007139405130	29.509700000000002	10	ligand_barriers_JOB_10.txt	"PV-007139405130	1	29.509700000000002"
PV-007139405131	29.427099999997022	10	ligand_barriers_JOB_10.txt	"PV-007139405131	1	29.427099999997022"
PV-007139405132	31.199099999998513	10	ligand_barriers_JOB_10.txt	"PV-007139405132	1	31.199099999998513"
PV-007139507485	30.677500000001483	10	ligand_barriers_JOB_10.txt	"PV-007139507485	1	30.677500000001483"
PV-007139584015	26.15519999999833	10	ligand_barriers_JOB_10.txt	"PV-007139584015	1	26.15519999999833"
PV-007139598812	31.02649999998716	10	ligand_barriers_JOB_10.txt	"PV-007139598812	1	31.02649999998716"
PV-007139837299	26.01589999999479	10	ligand_barriers_JOB_10.txt	"PV-007139837299	1	26.01589999999479"
PV-007139865136	27.13730000000054	10	ligand_barriers_JOB_10.txt	"PV-007139865136	1	27.13730000000054"
PV-007140213205	31.947900000003365	10	ligand_barriers_JOB_10.txt	"PV-007140213205	1	31.947900000003365"
PV-007140252997	29.591999999998322	10	ligand_barriers_JOB_10.txt	"PV-007140252997	1	29.591999999998322"
PV-007140355559	27.914500000001485	10	ligand_barriers_JOB_10.txt	"PV-007140355559	1	27.914500000001485"
PV-007140397917	26.16399999999888	10	ligand_barriers_JOB_10.txt	"PV-007140397917	1	26.16399999999888"
PV-006981677202	26.0519999999836	2	ligand_barriers_JOB_2.txt	"PV-006981677202	1	26.0519999999836"
PV-006981978667	29.537700000001486	2	ligand_barriers_JOB_2.txt	"PV-006981978667	1	29.537700000001486"
PV-006982323467	26.875199999997573	2	ligand_barriers_JOB_2.txt	"PV-006982323467	1	26.875199999997573"
PV-006982441209	29.382699999997758	2	ligand_barriers_JOB_2.txt	"PV-006982441209	1	29.382699999997758"
PV-006982509177	26.758600000004837	2	ligand_barriers_JOB_2.txt	"PV-006982509177	1	26.758600000004837"
PV-006982536816	30.858599999997214	2	ligand_barriers_JOB_2.txt	"PV-006982536816	1	30.858599999997214"
PV-006982558430	30.0236	2	ligand_barriers_JOB_2.txt	"PV-006982558430	1	30.0236"
PV-006982630415	27.716700000007446	2	ligand_barriers_JOB_2.txt	"PV-006982630415	1	27.716700000007446"
PV-006982769878	26.367499999997023	2	ligand_barriers_JOB_2.txt	"PV-006982769878	1	26.367499999997023"
PV-006982909987	26.736499999999623	2	ligand_barriers_JOB_2.txt	"PV-006982909987	1	26.736499999999623"
PV-006983648551	31.575900000001504	2	ligand_barriers_JOB_2.txt	"PV-006983648551	1	31.575900000001504"
PV-006983795721	32.07860000000002	2	ligand_barriers_JOB_2.txt	"PV-006983795721	1	32.07860000000002"
PV-006983863322	31.30800000000002	2	ligand_barriers_JOB_2.txt	"PV-006983863322	1	31.30800000000002"
PV-006984242773	29.665899999996203	2	ligand_barriers_JOB_2.txt	"PV-006984242773	1	29.665899999996203"
PV-006984287628	30.195199999995904	2	ligand_barriers_JOB_2.txt	"PV-006984287628	1	30.195199999995904"
PV-006984314333	29.779499999995515	2	ligand_barriers_JOB_2.txt	"PV-006984314333	1	29.779499999995515"
